qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
841 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
861 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
871 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
881 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
901 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
911 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
921 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
941 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
951 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
961 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
981 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
991 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1001 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1021 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1031 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1041 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1061 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
1071 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
1081 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
1101 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
