REGION I,ILOCOS SUR,SINAIT,CALANUTIAN,29300021,0,1,0,262,6,2,327,281,"0044A, 0045A",TEPPENG ELEMENTARY SCHOOL,05/09/2016 19:44:12
REGION I,ILOCOS NORTE,PAOAY,SUNGADAN,28160036,7,7,3,630,5,1,772,684,"0084A, 0084B, 0085A, 0086A, 0086B, 0087A",PASIL ELEMENTARY SCHOOL,05/09/2016 20:53:58
REGION I,ILOCOS NORTE,PAOAY,SIDEG,28160035,1,0,1,240,0,0,271,257,"0082A, 0083A",SIDEG PRIMARY SCHOOL,05/09/2016 18:43:32
REGION I,ILOCOS NORTE,LAOAG CITY,"BGY. NO. 30-B, SANTA MARIA",28120056,0,2,3,342,3,0,489,360,"0132A, 0132B, 0133A",SUYO ELEMENTARY SCHOOL,05/09/2016 18:29:57
REGION I,ILOCOS NORTE,BACARRA,PUNGTO,28020030,0,1,2,261,4,1,318,277,"0066A, 0067A",CADARATAN ELEM. SCHOOL,05/09/2016 19:19:15
REGION I,ILOCOS NORTE,NUEVA ERA,CARAY,28140005,1,1,1,329,4,0,429,352,"0010A, 0011A, 0011B",CARAY BARANGAY HALL,05/09/2016 18:39:03
REGION I,ILOCOS NORTE,SARRAT,SAN LORENZO,28210021,5,5,1,540,5,1,661,579,"0043A, 0043B, 0043C, 0044A, 0044B",SAN ANTONIO ELEMENTARY SCHOOL,05/09/2016 17:47:39
REGION I,LA UNION,ARINGAY,POBLACION,33020002,9,13,4,462,37,1,662,540,"0005A, 0006A, 0007A, 0008A",ARINGAY CENTRAL WEST ELEMENTARY SCHOOL,05/09/2016 19:41:29
REGION I,LA UNION,BACNOTAN,MABANENGBENG 1ST,33030030,0,1,2,161,5,1,197,174,"0066A, 0066B",MAB. 1ST BRGY. HALL,05/09/2016 19:43:04
REGION I,LA UNION,BAGULIN,CAMBALY,33040005,11,16,8,503,77,7,735,653,"0013A, 0013B, 0014A, 0014B, 0015A, 0016A",CAMBALY ELEMENTARY SCHOOL,05/09/2016 19:59:43
REGION I,LA UNION,SAN JUAN,BAMBANAY,33160010,0,2,2,311,10,1,381,344,"0021A, 0022A, 0022B",NADSAAG COMMUNITY SCHOOL,05/09/2016 18:31:04
REGION I,LA UNION,SANTO TOMAS,PONGPONG,33170035,3,4,3,298,22,0,412,352,"0096A, 0097A, 0098A",PONGPONG ELEMENTARY SCHOOL,05/09/2016 18:55:56
REGION IV-A,CAVITE,SILANG,ANAHAW I,21180019,34,95,16,222,129,6,661,531,"0045A, 0045B, 0047A, 0048A, 0049A",BULIHAN ELEMENTARY SCHOOL,05/09/2016 19:08:12
REGION IV-A,CAVITE,SILANG,SAN MIGUEL II,21180158,53,105,5,140,117,7,611,465,"0390A, 0390B, 0391A, 0391B",SILANG CENTRAL ELEMENTARY SCHOOL,05/09/2016 20:37:28
REGION IV-A,CAVITE,GENERAL TRIAS CITY,MANGGAHAN,21080061,54,87,9,152,117,9,726,454,"0109A, 0109B, 0109C, 0109E",MANGGAHAN ELEM. SCHOOL,05/09/2016 18:56:19
REGION IV-A,CAVITE,TANZA,DAANG AMAYA I,21200001,54,93,6,155,191,5,718,522,"0001A, 0001B, 0001C, 0001D",TANZA NATIONAL COMPREHENSIVE HIGH SCHOOL,05/09/2016 18:33:10
REGION IV-A,CAVITE,TANZA,SANJA MAYOR,21200150,28,73,10,198,109,12,536,448,"0157B, 0157C, 0157D",SANJA MAYOR ELEMENTARY SCHOOL,05/09/2016 19:42:32
REGION IV-A,CAVITE,CAVITE CITY,BARANGAY 50 (KABALYERO),21050093,53,29,2,248,94,8,578,447,"0232A, 0233A, 0233B, 0234A, 0235A, 0235B",JULIAN FELIPE ELEMENTARY SCHOOL,05/09/2016 18:35:23
REGION IV-A,CAVITE,KAWIT,CONGBALAY-LEGASPI,21110012,40,91,9,209,147,10,658,530,"0032A, 0033A, 0034A, 0035A","BINAKAYAN ELEMENTARY SCHOOL,",05/09/2016 18:54:26
REGION IV-A,CAVITE,GENERAL EMILIO AGUINALDO,BATAS DAO,21070008,14,76,22,100,97,4,519,373,"0022A, 0022B, 0023A, 0023B, 0023P1",DAO ELEMENTARY SCHOOL,05/09/2016 18:35:42
REGION IV-A,CAVITE,ROSARIO,KANLURAN,21170018,35,86,6,135,159,4,564,453,"0030B, 0031A, 0031B, 0032A",ROSARIO ELEMENTARY SCHOOL,05/09/2016 18:55:32
REGION IV-A,CAVITE,NAIC,MALAINEN BAGO,21150058,52,96,11,203,111,20,709,517,"0202A, 0203A, 0213A, 0215A",MALAINEN BAGO ELEMENTARY SCHOOL,05/09/2016 18:44:38
REGION IV-A,CAVITE,NAIC,IBAYO SILANGAN,21150032,41,101,7,217,101,7,702,503,"0104A, 0105A, 0106A, 0107A, 0108A, 0109A",IBAYO ELEMENTARY SCHOOL,05/09/2016 18:33:32
REGION IV-A,CAVITE,IMUS CITY,ALAPAN  I-B,21090162,56,26,3,193,121,4,522,412,"0337A, 0337B, 0337P1",ALAPAN I ELEMENTARY SCHOOL,05/09/2016 18:35:31
REGION IV-A,CAVITE,IMUS CITY,BUCANDALA I,21090175,30,32,4,129,130,5,495,345,"0353A, 0353B, 0354P1",BUCANDALA ELEMENTARY SCHOOL,05/09/2016 19:31:38
REGION IV-A,CAVITE,ALFONSO,MATAGBAK I,21010041,42,46,9,125,141,6,472,391,"0099A, 0099B, 0100A, 0100B, 0100P1",MATAGBAK ELEMENTARY SCHOOL,05/09/2016 18:30:15
REGION IV-A,CAVITE,ALFONSO,LUKSUHIN,21010029,52,96,11,148,173,14,642,524,"0071A, 0071B, 0072A, 0072B, 0072P1",PANSIN ELEMENTARY SCHOOL,05/09/2016 19:10:16
REGION IV-A,CAVITE,DASMARIÑAS CITY,SALAWAG,21060199,85,61,3,248,219,10,794,631,"0401A, 0401B, 0402A, 0402B, 0424B",SALAWAG ELEMENTARY SCHOOL,05/09/2016 19:32:07
REGION IV-A,CAVITE,DASMARIÑAS CITY,SAN AGUSTIN I,21060296,94,37,9,253,186,3,791,594,"0600A, 0601A, 0601B, 0602A, 0605B",R. TIRONA ELEMENTARY SCHOOL,05/09/2016 18:37:00
REGION IV-A,CAVITE,DASMARIÑAS CITY,SAMPALOC IV,21060275,53,94,23,231,205,5,789,627,"0543A, 0543B, 0543C, 0543D, 0562B",BAUTISTA ELEMENTARY SCHOOL,05/09/2016 18:40:09
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),POBLACION VII (BARANGAY VII),21140008,29,73,2,146,202,7,564,466,"0022A, 0023A, 0023B, 0024A, 0024B",GAHITAN ELEMENTARY SCHOOL,05/09/2016 18:29:14
REGION IV-A,CAVITE,INDANG,BARANGAY  4 (POB.),21100007,47,73,8,187,150,6,583,486,"0014A, 0015A, 0016A",INDANG NATIONAL HIGHSCHOOL,05/09/2016 18:33:20
REGION IV-A,CAVITE,GEN. MARIANO ALVAREZ,BARANGAY  5 POBLACION,21230019,47,95,10,248,106,6,734,533,"0047A, 0048A, 0049A, 0049B, 0054A",F.V.R. ELEM. SCHOOL,05/09/2016 22:40:21
REGION IV-A,CAVITE,BACOOR CITY,P.F. ESPIRITU VI,21030277,74,38,1,242,140,2,699,506,"0460B, 0461A, 0461B, 0462A, 0462B, 0462C",P. F. ESPIRITU ELEM. SCHOOL,05/09/2016 18:43:31
REGION IV-A,CAVITE,BACOOR CITY,MAMBOG I,21030061,74,33,4,217,138,2,650,472,"0106A, 0106B, 0107A, 0107B, 0107C",SEVEN SEAS ACADEMY,05/09/2016 19:21:05
REGION IV-A,CAVITE,BACOOR CITY,MOLINO II,21030160,52,73,7,258,131,7,741,540,"0256A, 0256B, 0256C, 0256D",ST. ALPHONSUS LIGUORI INTEGRATED SCHOOL,05/09/2016 19:02:15
REGION IV-A,CAVITE,BACOOR CITY,ZAPOTE II,21030364,52,91,5,210,106,11,689,485,"0615C, 0616A, 0616B, 0617A, 0617B, 0617C",ZAPOTE ELEM. SCHOOL,05/09/2016 18:51:02
REGION IV-A,CAVITE,BACOOR CITY,HABAY I,21030028,76,69,4,259,125,10,795,574,"0041B, 0049A, 0049B, 0049C, 0050A, 0050B",HABAY ELEM. SCHOOL,05/09/2016 20:15:49
REGION IV-A,CAVITE,BACOOR CITY,NIOG II,21030249,78,55,3,234,174,7,745,571,"0405A, 0405B, 0405C, 0405D, 0406A",NIOG ELEM. SCHOOL,05/09/2016 18:32:17
REGION IV-A,BATANGAS,LIPA CITY,INOSLOBAN,10140116,81,138,14,122,262,14,774,655,"0282A, 0282B, 0283A, 0283B",INOSLOBAN-MARAUOY ELEMENTARY SCHOOL,05/09/2016 17:49:04
REGION IV-A,BATANGAS,LIPA CITY,SICO,10140235,101,76,13,159,250,11,776,628,"0562A, 0562B, 0563A, 0564A",SICO ELEMENTARY SCHOOL,05/10/2016 20:28:34
REGION IV-A,BATANGAS,MABINI,CALAMIAS,10160012,20,203,16,100,247,14,738,649,"0028A, 0029A, 0029B, 0030A, 0031A",CALAMIAS COVERED COURT,05/09/2016 19:32:25
REGION IV-A,BATANGAS,LAUREL,BUSO-BUSO,10110015,19,74,6,127,159,15,473,428,"0036B, 0037A, 0038A",BUSO-BUSO ELEMENTARY SCHOOL,05/09/2016 18:33:10
REGION IV-A,BATANGAS,ROSARIO,MASAYA,10210054,44,73,13,71,216,25,535,466,"0128A, 0131A, 0131B",MASAYA ELEMENTARY SCHOOL,05/09/2016 18:29:42
REGION IV-A,BATANGAS,CALACA,MAKINA,10070045,42,93,21,70,317,20,712,618,"0116A, 0117A, 0118A, 0119A",PANTAY ELEMENTARY SCHOOL,05/09/2016 21:57:43
REGION IV-A,BATANGAS,SAN LUIS,BALAGTASIN,10240007,27,54,8,74,159,4,428,345,"0018A, 0018B, 0019A, 0019B",BALAGTASIN BARANGAY HALL,
REGION IV-A,BATANGAS,SAN LUIS,BANOYO,10240009,32,116,22,133,256,9,688,596,"0023A, 0023B, 0024A, 0024B, 0025A, 0025B",BANOYO ELEMENTARY SCHOOL,05/09/2016 23:23:03
REGION IV-A,BATANGAS,SAN PASCUAL,NATUNUAN NORTH,10260033,30,94,16,103,148,6,535,418,"0084A, 0085A, 0085B",NATUNUAN NORTH ELEMENTARY SCHOOL,05/09/2016 18:53:24
REGION IV-A,BATANGAS,SAN PASCUAL,NATUNUAN SOUTH,10260036,28,56,8,38,141,6,350,294,"0089B, 0090A, 0090B",NATUNUAN SOUTH ELEMENTARY SCHOOL,05/09/2016 18:33:44
REGION IV-A,BATANGAS,TALISAY,BALAS,10300017,35,83,16,82,153,4,476,388,"0043A, 0044A, 0045A",BALAS ELEMENTARY SCHOOL,05/09/2016 18:48:15
REGION IV-A,BATANGAS,LIAN,BARANGAY  4 (POB.),10130008,43,61,6,109,149,19,521,414,"0016A, 0016B, 0018A, 0018B",LIAN CENTRAL SCHOOL,05/09/2016 19:02:30
REGION IV-A,BATANGAS,SAN NICOLAS,CALANGAY,10250016,60,80,57,105,170,24,641,529,"0036B, 0037A, 0037B, 0038A, 0038B",CALANGAY ELEMENTARY SCHOOL,05/09/2016 21:18:28
REGION IV-A,BATANGAS,BATANGAS CITY,BOLBOK,10050072,70,96,12,158,226,15,742,591,"0157A, 0157B, 0158B, 0159A, 0160A",BOLBOK ELEMENTARY SCHOOL,05/09/2016 18:55:33
REGION IV-A,BATANGAS,BATANGAS CITY,BARANGAY 24 (POB.),10050033,51,98,6,96,177,11,643,456,"0064A, 0065B, 0066A, 0067A, 0068A",BATANGAS NATIONAL HIGH SCHOOL,05/09/2016 18:36:51
REGION IV-A,BATANGAS,BATANGAS CITY,SANTA RITA KARSADA,10050250,77,70,13,134,244,16,765,566,"0584A, 0587A, 0588A, 0588B, 0588C",STA. RITA KARSADA ELEMENTARY SCHOOL,05/09/2016 19:49:36
